ride_month,station,lat,long,ride_count
1,Broadway & E 14 St,40.73454567,-73.99074142,4407
1,Broadway & E 22 St,40.7403432,-73.98955109,4913
1,Broadway & Roebling St,40.70925562,-73.95982218,730
1,Broadway & W 24 St,40.7423543,-73.98915076,3692
1,Broadway & W 29 St,40.7462009,-73.98855723,2951
1,Broadway & W 32 St,40.74854862,-73.98808416,2913
1,Broadway & W 36 St,40.75097711,-73.98765428,1406
1,Broadway & W 37 St,40.75172632,-73.98753523,1190
1,Broadway & W 39 St,40.75299641,-73.98721619,2615
1,Broadway & W 41 St,40.75513557,-73.98658032,624
1,Broadway & W 49 St,40.76068327096592,-73.9845272898674,2709
1,Broadway & W 51 St,40.76228826,-73.98336183,2171
1,Broadway & W 53 St,40.76344058,-73.98268129,2022
1,Broadway & W 55 St,40.7652654,-73.98192338,2807
1,Broadway & W 58 St,40.76695317,-73.98169333,2840
1,Broadway & W 60 St,40.76915505,-73.98191841,2721
1,Broadway & Whipple St,40.7016657,-73.9437303,210
1,Brooklyn Bridge Park - Pier 2,40.69878,-73.99712,143
1,Bus Slip & State St,40.701907,-74.013942,727
1,Bushwick Ave & Powers St,40.71247661,-73.94100005,320
1,Butler St & Court St,40.6849894,-73.99440329,381
1,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,578
1,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,421
1,Cambridge Pl & Gates Ave,40.68488,-73.96304,202
1,Canal St & Rutgers St,40.71427487,-73.98990025,2331
1,Carlton Ave & Flushing Ave,40.697787,-73.973736,550
1,Carlton Ave & Park Ave,40.69580705,-73.97355569,388
1,Carmine St & 6 Ave,40.73038599,-74.00214988,3523
1,Carroll St & 5 Ave,40.6751622,-73.9814832,470
1,Carroll St & 6 Ave,40.6740886,-73.9787282,484
1,Carroll St & Bond St,40.6786115,-73.99037292,241
1,Carroll St & Columbia St,40.6830456,-74.00348559,383
1,Carroll St & Smith St,40.680611,-73.99475825,651
1,Cathedral Pkwy & Broadway,40.804213,-73.96699104,1025
1,Catherine St & Monroe St,40.71117444,-73.99682619,893
1,Center Blvd & Borden Ave,40.74161,-73.96044,96
1,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,1358
1,Central Park S & 6 Ave,40.76590936,-73.97634151,2948
1,Central Park W & W 96 St,40.79127,-73.964839,1076
1,Central Park West & W 100 St,40.793393,-73.9635556,543
1,Central Park West & W 102 St,40.795346,-73.96186,477
1,Central Park West & W 68 St,40.7734066,-73.97782542,1533
1,Central Park West & W 72 St,40.775793766836657,-73.9762057363987,1638
1,Central Park West & W 76 St,40.77896784,-73.97374737,1160
1,Central Park West & W 85 St,40.78472675,-73.96961715,1392
1,Centre St & Chambers St,40.71273266,-74.0046073,2183
1,Centre St & Worth St,40.71494807,-74.00234482,1118
1,Cherry St,40.71219906,-73.97948148,684
1,Christopher St & Greenwich St,40.73291553,-74.00711384,3201
1,Clark St & Henry St,40.69760127,-73.99344559,881
1,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,368
1,Clermont Ave & Park Ave,40.69573398,-73.97129668,306
1,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037,3033
1,Cliff St & Fulton St,40.70823502,-74.00530063,1108
1,Clinton Ave & Flushing Ave,40.69794,-73.96986848,402
1,Clinton Ave & Myrtle Ave,40.693261,-73.968896,967
1,Clinton St & 4 Place,40.6783563,-74.00014502,336
