ride_date,ride_count,precip,avg_tmp
2017-08-17,66656,0.0,76
2017-08-23,65070,0.0,76
2017-08-10,66249,0.0,76
2017-08-11,63140,0.0,76
2017-06-22,66308,0.0,76
2017-06-25,54655,0.0,76
2017-06-10,57087,0.0,76
2017-09-16,61036,0.0,76
2017-09-21,67742,0.0,76
2017-09-26,71518,0.0,76
2017-07-08,55015,0.0,77
2017-07-31,64218,0.0,77
2017-08-13,57518,0.0,77
2017-06-21,67218,0.0,77
2017-09-05,65445,0.0,77
2017-05-17,65794,0.0,78
2017-07-04,49924,0.0,78
2017-07-05,60321,0.0,78
2017-07-28,63899,0.0,78
2017-07-16,56833,0.0,78
2017-08-03,66149,0.0,78
2017-06-18,49472,0.0,78
2017-09-23,62687,0.0,78
2017-09-27,69897,0.0,78
2017-05-19,62143,0.0,79
2017-07-17,62555,0.0,79
2017-08-16,68436,0.0,79
2017-08-21,61059,0.0,79
2017-09-25,69200,0.0,79
2017-07-02,43036,0.0,80
2017-07-11,61671,0.0,80
2017-08-19,62442,0.0,80
2017-09-24,57458,0.0,80
2017-07-18,66234,0.0,81
2017-06-11,51427,0.0,81
2017-06-30,58662,0.0,81
2017-07-13,56475,0.0,82
2017-08-01,66677,0.0,82
2017-07-12,61786,0.0,83
2017-05-18,63753,0.0,84
2017-07-21,60072,0.0,84
2017-07-19,63915,0.0,85
2017-06-12,57871,0.0,85
2017-06-13,60921,0.0,86
2017-10-30,49247,0.25,54
2017-12-05,41792,0.75,56
2017-12-14,27495,0.09,27
2017-06-04,40138,0.09,63
2017-08-02,56184,0.09,78
2017-05-06,46618,0.18,60
2017-06-27,64767,0.18,69
2017-03-28,21589,0.72,44
2017-04-25,20332,0.91,52
2017-05-05,24009,3.02,55
2017-12-15,22944,0.11,24
2017-04-22,34596,0.11,53
2017-08-12,60540,0.11,71
2017-09-19,57910,0.22,74
2017-10-08,41044,0.22,75
2017-08-18,36620,0.88,78
2017-03-31,6946,1.51,40
2017-08-04,56394,0.15,77
2017-08-05,58971,0.3,74
2017-08-22,60541,0.3,81
2017-10-29,9537,3.03,64
2017-07-22,48011,0.57,82
2017-06-17,34900,1.39,70
2017-02-07,23053,0.27,39
2017-02-25,33343,0.54,54
2017-08-07,23395,0.76,68
2017-12-23,9608,0.49,43
2017-04-06,18020,0.73,47
2017-01-17,18646,0.35,40
2017-07-14,31851,0.35,69
2017-11-07,36362,0.7,45
2017-12-25,6479,0.23,33
2017-11-19,31598,0.23,49
2017-07-01,36737,0.23,78
2017-12-09,10804,0.46,33
2017-02-12,5801,0.46,35
2017-11-10,38432,0.01,38
2017-12-24,13216,0.01,39
2017-03-30,39746,0.01,45
2017-03-25,29646,0.01,52
2017-05-07,34293,0.01,52
2017-11-06,57606,0.01,56
2017-10-16,61730,0.01,58
2017-05-20,47859,0.01,60
2017-06-03,56264,0.01,64
2017-09-07,69519,0.01,65
2017-06-02,66907,0.01,67
2017-08-30,65329,0.01,69
2017-07-20,59663,0.01,86
2017-02-13,23857,0.02,35
2017-12-18,40168,0.02,41
2017-01-26,33002,0.02,50
2017-03-08,43469,0.02,53
2017-11-05,34943,0.02,56
2017-05-14,38729,0.02,57
2017-06-05,55883,0.02,63
2017-04-12,51188,0.02,67
2017-09-14,72071,0.02,76
2017-05-24,60622,0.04,63
2017-06-23,55323,0.04,80
2017-03-18,4106,0.08,37
2017-10-14,58777,0.08,67
2017-01-07,4425,0.32,23
2017-07-07,44068,1.78,74
2017-04-21,39868,0.29,51
2017-08-29,35152,0.29,65
2017-06-14,60513,0.29,77
2017-01-03,14198,0.58,41
2017-05-25,17495,0.58,58
2017-01-23,15822,1.16,40
2017-12-30,5956,0.05,20
2017-01-06,24177,0.05,29
2017-01-22,20523,0.05,46
2017-01-12,39783,0.05,57
2017-01-20,26752,0.1,43
2017-11-18,27745,0.1,45
2017-03-07,29683,0.1,49
2017-05-26,53768,0.1,65
2017-11-16,49737,0.2,50
2017-10-24,48077,0.2,71
2017-06-19,38310,1.35,79
2017-05-29,26322,0.13,59
2017-03-27,26301,0.26,45
2017-10-09,38391,0.26,74
2017-01-11,32419,0.52,47
2017-06-24,52153,1.29,78
2017-09-03,30955,0.74,64
2017-07-24,43792,0.74,68
2017-11-30,51700,0.03,46
2017-02-08,40428,0.03,50
2017-04-03,43485,0.03,56
2017-05-31,59495,0.03,67
2017-06-20,64673,0.03,77
2017-01-31,25169,0.06,30
2017-01-18,30857,0.06,40
2017-06-06,41268,0.06,55
2017-05-30,50194,0.06,58
2017-10-11,63589,0.06,69
2017-09-13,69566,0.06,74
2017-04-29,57701,0.06,75
2017-07-23,46942,0.06,75
2017-01-14,13819,0.12,31
2017-03-01,40592,0.12,62
2017-04-20,44264,0.17,58
2017-04-26,37727,0.34,57
2017-05-13,5704,1.61,49
2017-08-15,52461,0.45,71
2017-07-03,48193,0.45,80
2017-03-10,18412,0.31,35
2017-01-02,8921,0.21,39
2017-11-22,32298,0.21,46
2017-09-06,42295,0.42,67
2017-05-22,24627,0.59,57
2017-01-24,13171,1.18,37
2017-04-04,29991,1.18,48
2017-11-13,38753,0.07,43
2017-10-12,61248,0.07,60
2017-03-26,19893,0.14,40
2017-09-02,37812,0.53,61
